ranking,sport,Boulders
577,10 332,9 300
578,10 330,9 300
579,10 327,9 300
580,10 322,9 300
581,10 321,9 300
582,10 316,9 300
583,10 315,9 300
584,10 315,9 300
585,10 312,9 300
586,10 311,9 300
587,10 308,9 300
588,10 307,9 300
589,10 306,9 299
590,10 305,9 297
591,10 305,9 295
592,10 302,9 290
593,10 302,9 270
594,10 300,9 270
595,10 300,9 266
596,10 300,9 260
597,10 295,9 260
598,10 294,9 258
599,10 294,9 256
600,10 293,9 255
601,10 292,9 253
602,10 292,9 253
603,10 292,9 253
604,10 290,9 253
605,10 290,9 253
606,10 290,9 253
607,10 290,9 252
608,10 286,9 252
609,10 285,9 252
610,10 285,9 250
611,10 285,9 250
612,10 285,9 250
613,10 283,9 250
614,10 283,9 250
615,10 282,9 250
616,10 280,9 250
617,10 280,9 250
618,10 280,9 250
619,10 279,9 250
620,10 277,9 250
621,10 275,9 250
622,10 270,9 249
623,10 267,9 247
624,10 267,9 240
625,10 265,9 240
626,10 265,9 231
627,10 262,9 229
628,10 259,9 223
629,10 255,9 220
630,10 254,9 220
631,10 253,9 220
632,10 252,9 220
633,10 252,9 212
634,10 250,9 210
635,10 250,9 209
636,10 250,9 209
637,10 247,9 208
638,10 247,9 207
639,10 245,9 207
640,10 245,9 206
641,10 245,9 206
642,10 244,9 205
643,10 244,9 205
644,10 242,9 203
645,10 242,9 203
646,10 242,9 203
647,10 242,9 203
648,10 241,9 203
649,10 240,9 203
650,10 240,9 203
651,10 240,9 203
652,10 240,9 202
653,10 240,9 200
654,10 240,9 200
655,10 238,9 200
656,10 237,9 200
657,10 236,9 200
658,10 236,9 200
659,10 235,9 200
660,10 235,9 200
661,10 235,9 200
662,10 234,9 200
663,10 234,9 200
664,10 234,9 200
665,10 233,9 200
666,10 232,9 200
667,10 230,9 200
668,10 228,9 200
669,10 226,9 200
670,10 225,9 195
671,10 225,9 190
672,10 225,9 183
673,10 225,9 177
674,10 225,9 170
675,10 220,9 165
676,10 220,9 165
677,10 217,9 161
678,10 217,9 159
679,10 215,9 158
680,10 215,9 156
681,10 210,9 156
682,10 208,9 155
683,10 206,9 153
684,10 205,9 153
685,10 203,9 153
686,10 203,9 152
687,10 203,9 151
688,10 203,9 150
689,10 202,9 150
690,10 202,9 150
691,10 200,9 150
692,10 200,9 150
693,10 199,9 150
694,10 199,9 150
695,10 199,9 150
696,10 198,9 143
697,10 198,9 142
698,10 197,9 123
699,10 197,9 122
700,10 195,9 119
701,10 195,9 118
702,10 195,9 115
703,10 194,9 108
704,10 192,9 103
705,10 190,9 103
706,10 190,9 103
707,10 190,9 103
708,10 190,9 103
709,10 189,9 100
710,10 188,9 100
711,10 187,9 100
712,10 187,9 100
713,10 185,9 097
714,10 185,9 095
715,10 185,9 095
716,10 185,9 090
717,10 184,9 072
718,10 182,9 070
719,10 182,9 068
720,10 180,9 065
721,10 178,9 062
722,10 177,9 060
723,10 177,9 059
724,10 175,9 059
725,10 175,9 058
726,10 175,9 056
727,10 172,9 055
728,10 170,9 055
729,10 160,9 053
730,10 158,9 053
731,10 157,9 053
732,10 156,9 053
733,10 156,9 053
734,10 155,9 053
